UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,1.04925e-309,1.05209e-309,8.81552e-310,8.84229e-310,1.289e-309,1.29059e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.05491e-309,1.05772e-309,8.86899e-310,8.89562e-310,1.29217e-309,1.29374e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.06051e-309,1.06328e-309,8.92218e-310,8.94867e-310,1.2953e-309,1.29686e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.06605e-309,1.0688e-309,8.97508e-310,9.00142e-310,1.29841e-309,1.29995e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.07153e-309,1.07425e-309,9.02768e-310,9.05388e-310,1.30148e-309,1.30301e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.07695e-309,1.07965e-309,9.08e-310,9.10605e-310,1.30452e-309,1.30603e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.08232e-309,1.08499e-309,9.13203e-310,9.15793e-310,1.30753e-309,1.30902e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.08764e-309,1.09027e-309,9.18376e-310,9.20952e-310,1.31051e-309,1.31199e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.09289e-309,1.0955e-309,9.23521e-310,9.26082e-310,1.31345e-309,1.31492e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.0981e-309,1.10068e-309,9.28636e-310,9.31183e-310,1.31637e-309,1.31782e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.10325e-309,1.1058e-309,9.33723e-310,9.36255e-310,1.31926e-309,1.32069e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.10834e-309,1.11087e-309,9.3878e-310,9.41298e-310,1.32211e-309,1.32353e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.11339e-309,1.11589e-309,9.43808e-310,9.46311e-310,1.32494e-309,1.32634e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.11838e-309,1.12085e-309,9.48807e-310,9.51295e-310,1.32774e-309,1.32913e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.12332e-309,1.12577e-309,9.53777e-310,9.56251e-310,1.33051e-309,1.33188e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.12821e-309,1.13063e-309,9.58717e-310,9.61177e-310,1.33325e-309,1.3346e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.13304e-309,1.13544e-309,9.63629e-310,9.66074e-310,1.33596e-309,1.3373e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.13783e-309,1.14021e-309,9.68511e-310,9.70942e-310,1.33864e-309,1.33997e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.14257e-309,1.14492e-309,9.73365e-310,9.75781e-310,1.34129e-309,1.34261e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.14726e-309,1.14958e-309,9.78189e-310,9.8059e-310,1.34392e-309,1.34523e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.1519e-309,1.1542e-309,9.82984e-310,9.85371e-310,1.34652e-309,1.34781e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.15649e-309,1.15877e-309,9.87751e-310,9.90123e-310,1.3491e-309,1.35037e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.16103e-309,1.16329e-309,9.92488e-310,9.94846e-310,1.35164e-309,1.35291e-309,
1.57744e+09,6.91582e-310,6.91582e-310,1.16553e-309,1.16776e-309,9.97197e-310,9.9954e-310,1.35416e-309,1.35541e-309,
